source,path,classification,canonical_twin,rationale,evidence_relevance
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/strategy_base.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/types.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/window.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/settings.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/static/app.css,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/static/app.js,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/static/help_map.json,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/static/index.html,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/store/__init__.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/store/db.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/config/bridge.yaml,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/config/strategies/keltner_trail_ema8.yaml,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/app.css,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/app.js,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/fixtures/build_data_js.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/fixtures/data.js,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/fixtures/intents.json,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/fixtures/market_context.json,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/fixtures/workers.json,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/index.html,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/dashboard_v2_prototype/README.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/COMMANDS.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/env/mtc-bridge.env.template,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/install.sh,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/lib/common.sh,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/logrotate/mtc-bridge,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/package.sh,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/README.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/rollback.sh,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/SECURITY_BASELINE.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/systemd/mtc-bridge-first-start.service.template,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/systemd/mtc-bridge-steady.service.template,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/verify.sh,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/deploy/linux/verify_lock.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/docs/00_PREREG.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
