transcript_path,intake_path,transcript_video_id,intake_video_id,transcript_title,intake_title,match_method,match_score,match_status
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Trading Returns - How to become a Super Trade with Mark Ritchie.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,RTHRh_GLwH8,RTHRh_GLwH8,100% Trading Returns - How to become a Super Trade with Mark Ritchie,INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\103% Return in 1 Year The Simple Event Driven Trading Setup.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_kao-hhaQnig_andrew_connell_event_driven_value_area.md,kao-hhaQnig,kao-hhaQnig,103% Return in 1 Year The Simple Event Driven Trading Setup,103% Return in 1 Year The Simple Event Driven Trading Setup,video_id,1.0,MATCHED
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\11,300% Return in One Year Interview with Larry Williams.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_GHZBv1W4-II_larry_williams.md,GHZBv1W4-II,GHZBv1W4-II,"11,300% Return in One Year Interview with Larry Williams","11,300% Return in One Year Interview with Larry Williams",video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\120% Return A Simple Weekly Strategy Anyone Can Use.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,62OaP91Jz9k,62OaP91Jz9k,120% Return A Simple Weekly Strategy Anyone Can Use,120% Return A Simple Weekly Strategy Anyone Can Use.md,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lpjTNygfnzM_deepak_swing_trading_triple_digit_returns.md,lpjTNygfnzM,lpjTNygfnzM,153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns,153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns,video_id,1.0,MATCHED
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\2,115% Return in 1 Year How a Harvard Cancer Scientist Beat Wall Street.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,NGyE4YIgGpU,NGyE4YIgGpU,"2,115% Return in 1 Year How a Harvard Cancer Scientist Beat Wall Street",2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\259% Return in 1 Year The Risk Management Strategy YOU Need for Consistent Returns.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_oPeTkxTnooA_Intake_Report_2026-05-03.md,oPeTkxTnooA,oPeTkxTnooA,259% Return in 1 Year The Risk Management Strategy YOU Need for Consistent Returns,YT_oPeTkxTnooA_Intake_Report_2026-05-03,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,lS9zbnLi1Gg,lS9zbnLi1Gg,283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader,283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\300% Return in the US Investing Championship  Leos Mikulka's Winning Strategies.md,,esDKpwi1b2M,,300% Return in the US Investing Championship  Leos Mikulka's Winning Strategies,,low_similarity,0.393,TRANSCRIPT_WITHOUT_INTAKE
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\33,500% RETURN - Mark Minervini's VCP Setup that made him Millions.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md,JS4_6gv0PpI,JS4_6gv0PpI,"33,500% RETURN - Mark Minervini's VCP Setup that made him Millions","33,500% RETURN - Mark Minervini's VCP Setup that made him Millions",video_id,1.0,MATCHED
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\40 Years of Trading Wisdom in 20 Minutes - Lessons from Jim Roppel, Hedge Fund Manager.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_Eb9FkLNJLzs_Intake_Report_2026-05-03.md,Eb9FkLNJLzs,Eb9FkLNJLzs,"40 Years of Trading Wisdom in 20 Minutes - Lessons from Jim Roppel, Hedge Fund Manager",YT_Eb9FkLNJLzs_Intake_Report_2026-05-03,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\409% Return in 1 Year Aggressive Swing Trading Tactics and Setups.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_003_KWxhLIOchvY_leos_aggressive_swing_tactics.md,KWxhLIOchvY,KWxhLIOchvY,409% Return in 1 Year Aggressive Swing Trading Tactics and Setups,409% Return in 1 Year Aggressive Swing Trading Tactics and Setups,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\433% Return in 1 Year From Poker Player to Full Time Trader.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_001_Lot25-2fb-4_433_return_poker_player_full_time_trader.md,Lot25-2fb-4,Lot25-2fb-4,433% Return in 1 Year From Poker Player to Full Time Trader,433% Return in 1 Year From Poker Player to Full Time Trader,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\48 Years of Trading Lessons with Market Wizard Peter Brandt.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R1sNTB2Vh7w_peter_brandt_48_years_trading_lessons.md,R1sNTB2Vh7w,R1sNTB2Vh7w,48 Years of Trading Lessons with Market Wizard Peter Brandt,48 Years of Trading Lessons with Market Wizard Peter Brandt,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\5 Simple & Effective Trading Setups of Market Wizards.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,lTiR1pc82EE,lTiR1pc82EE,5 Simple & Effective Trading Setups of Market Wizards,5 Simple & Effective Trading Setups of Market Wizards,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\7 Steps to Beat the Market - Ultimate Trading Guide Ep.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_QzzKqmPcB3A_ultimate_trading_guide_ep.md,QzzKqmPcB3A,QzzKqmPcB3A,7 Steps to Beat the Market - Ultimate Trading Guide Ep,7 Steps to Beat the Market - Ultimate Trading Guide Ep,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\a Hedge Fund Manager Reveals his Perfect Pullback Trading Setup.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_ivL6E6Lc6gM_quantlens_charles_harris_pullback_intake.md,ivL6E6Lc6gM,ivL6E6Lc6gM,a Hedge Fund Manager Reveals his Perfect Pullback Trading Setup,a Hedge Fund Manager Reveals his Perfect Pullback Trading Setup.md,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\CANSLIM Trading Strategy Beat 99% of Investors Using This Simple Strategy.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_FiUGDA7eMyU_canslim_ross_haber.md,FiUGDA7eMyU,FiUGDA7eMyU,CANSLIM Trading Strategy Beat 99% of Investors Using This Simple Strategy,CANSLIM Trading Strategy: Beat 99% of Investors Using This Simple Strategy,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\FOMO is Ruining Your Trades Here's How to Fix It Trading Psychology.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_q4TuaY-ccqA_Intake_Report_2026-05-03.md,q4TuaY-ccqA,q4TuaY-ccqA,FOMO is Ruining Your Trades Here's How to Fix It Trading Psychology,FOMO is Ruining Your Trades Here's How to Fix It Trading Psychology,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\From Blowing Up 3 Times to Managing a $200 Million Hedge Fund — Exclusive Interview with Jim Roppel.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_jLioqyVlRkE_jim_roppel_200m_hedge_fund.md,jLioqyVlRkE,jLioqyVlRkE,From Blowing Up 3 Times to Managing a $200 Million Hedge Fund — Exclusive Interview with Jim Roppel,From Blowing Up 3 Times to Managing a $200 Million Hedge Fund — Exclusive Interview with Jim Roppel,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Gamer Trades $5k into over $1 Million with just a 30% Win Rate - Brian Lee Trades.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_DPA35Gug3Y4_brian_lee_smallcap_mean_reversion_progressive_exposure.md,DPA35Gug3Y4,DPA35Gug3Y4,Gamer Trades $5k into over $1 Million with just a 30% Win Rate - Brian Lee Trades,Gamer Trades $5k into over $1 Million with just a 30% Win Rate - Brian Lee Trades,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How A Day Trader Turned into a Super-Performance Swing Trader - Real Simple Ariel.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_004_Nq_p7Bu1YT0_ariel_rs_leadergroup_swing.md,Nq-p7Bu1YT0,Nq-p7Bu1YT0,How A Day Trader Turned into a Super-Performance Swing Trader - Real Simple Ariel,How A Day Trader Turned into a Super-Performance Swing Trader - Real Simple Ariel,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How Clement Ang Achieved 150%+ Returns in the US Investing Championship.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md,zw96qkUn9_g,zw96qkUn9_g,How Clement Ang Achieved 150%+ Returns in the US Investing Championship,INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How Mark Minervini Became a Market Wizard.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_uh5bALsKkLg_mark_minervini_market_wizard.md,uh5bALsKkLg,uh5bALsKkLg,How Mark Minervini Became a Market Wizard,INTAKE_2026-05-03_uh5bALsKkLg_mark_minervini_market_wizard,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\I Stopped Trading So Much and My Profits Skyrocketed.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,-JyH5PAJ4-Y,-JyH5PAJ4-Y,I Stopped Trading So Much and My Profits Skyrocketed,I Stopped Trading So Much and My Profits Skyrocketed.md,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Mark Minervini's #1 Risk Management Secret to Grow Your Trading Profit.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,C9Pvd9UD0jM,C9Pvd9UD0jM,Mark Minervini's #1 Risk Management Secret to Grow Your Trading Profit,Mark Minervini's #1 Risk Management Secret to Grow Your Trading Profit,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Pro Swing Trading Entry Tactics Ultimate Trading Guide Ep3.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_002_oZH6_XRxtDc_pro_swing_trading_entry_tactics_ep3.md,oZH6_XRxtDc,oZH6_XRxtDc,Pro Swing Trading Entry Tactics Ultimate Trading Guide Ep3,Pro Swing Trading Entry Tactics Ultimate Trading Guide Ep3,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Pro Swing Trading Setups For Consistent Gains Ultimate Trading Guide Ep 2.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_003_NwgJQyoUAaI_pro_swing_trading_setups_ep2.md,NwgJQyoUAaI,NwgJQyoUAaI,Pro Swing Trading Setups For Consistent Gains Ultimate Trading Guide Ep 2,Pro Swing Trading Setups For Consistent Gains Ultimate Trading Guide Ep 2,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Secrets to Profitable Trading from Market Legend Stan Weinstein.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_DLlNDuOTUfQ_Intake_Report_2026-05-03.md,DLlNDuOTUfQ,DLlNDuOTUfQ,Secrets to Profitable Trading from Market Legend Stan Weinstein,YT_DLlNDuOTUfQ_Intake_Report_2026-05-03,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Stage Analysis Warnings for Current Markets - Exclusive Interview with Stan Weinstein.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,O0GpSPtmCuM,O0GpSPtmCuM,Stage Analysis Warnings for Current Markets - Exclusive Interview with Stan Weinstein,Stage Analysis Warnings for Current Markets - Exclusive Interview with Stan Weinstein.md,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Swing Trading Vs.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,UMgJ0P8fe0s,UMgJ0P8fe0s,Swing Trading Vs,INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia,video_id,1.0,MATCHED
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The $1,000,000 Simple Trading System That Took 13 Years to Build",,,,"The $1,000,000 Simple Trading System That Took 13 Years to Build",,low_similarity,0.332,TRANSCRIPT_WITHOUT_INTAKE
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The $1,000,000 Simple Trading System That Took 13 Years to Build.md",,,,"The $1,000,000 Simple Trading System That Took 13 Years to Build",,low_similarity,0.332,TRANSCRIPT_WITHOUT_INTAKE
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The 10 Principles of Trading with Investing Champion Oliver Kell.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,ElocJ-b_NTs,ElocJ-b_NTs,The 10 Principles of Trading with Investing Champion Oliver Kell,The 10 Principles of Trading with Investing Champion Oliver Kell,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The 3 Powerful Trading Setups of a Top Super-performance Trader.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_005_7UfHg8PpDZk_marios_three_setup_superperformance.md,7UfHg8PpDZk,7UfHg8PpDZk,The 3 Powerful Trading Setups of a Top Super-performance Trader,The 3 Powerful Trading Setups of a Top Super-performance Trader,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,kTqKRi-j9kM,kTqKRi-j9kM,The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke,The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke.md,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Art of Position Sizing with Anish Sikri  US Investing Championship Top Contender.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_a4uJ3rHhbfA_anish_sikri_position_sizing.md,a4uJ3rHhbfA,a4uJ3rHhbfA,The Art of Position Sizing with Anish Sikri  US Investing Championship Top Contender,The Art of Position Sizing with Anish Sikri | US Investing Championship Top Contender,video_id,1.0,MATCHED
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The AVWAP Trading Indicator Secrets and Setups Brian Shannon, CMT.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_UmLa9FAlMgw_quantlens_brian_shannon_avwap_intake.md,UmLa9FAlMgw,UmLa9FAlMgw,"The AVWAP Trading Indicator Secrets and Setups Brian Shannon, CMT","The AVWAP Trading Indicator Secrets and Setups Brian Shannon, CMT.md",video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Dead Simple VWAP Swing Trading Setup With Brian Shannon.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_Jew-Algmi0k_Intake_Report_2026-05-03.md,Jew-Algmi0k,Jew-Algmi0k,The Dead Simple VWAP Swing Trading Setup With Brian Shannon,YT_Jew-Algmi0k_Intake_Report_2026-05-03,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Market Wizard Trading System.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_ZK5cnVQ2V3Q_Intake_Report_2026-05-03.md,ZK5cnVQ2V3Q,ZK5cnVQ2V3Q,The Market Wizard Trading System,YT_ZK5cnVQ2V3Q_Intake_Report_2026-05-03,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Million Dollar TQQQ Swing Trading Strategy Vibha Jha.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_aDRYV4mjlHA_vibha_jha_tqqq_swing_strategy.md,aDRYV4mjlHA,aDRYV4mjlHA,The Million Dollar TQQQ Swing Trading Strategy Vibha Jha,The Million Dollar TQQQ Swing Trading Strategy Vibha Jha,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Mind of a Trader  Insights on Trading Psychology and Overcoming Setbacks  Charles Harris.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_2f5VfmlU90U_charles_harris_trading_psychology.md,2f5VfmlU90U,2f5VfmlU90U,The Mind of a Trader  Insights on Trading Psychology and Overcoming Setbacks  Charles Harris,The Mind of a Trader — Insights on Trading Psychology and Overcoming Setbacks — Charles Harris,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Only Sell Rules You Need to Trade Ajay Jani.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_006_hVCcVRxaxJY_ajay_jani_sell_rules.md,hVCcVRxaxJY,hVCcVRxaxJY,The Only Sell Rules You Need to Trade Ajay Jani,QL_INTAKE_006_hVCcVRxaxJY_ajay_jani_sell_rules,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Perfect VCP Trading Setup with Mark Minervini.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_004_M_tD6X0CSOI_the_perfect_vcp_trading_setup_mark_minervini.md,M_tD6X0CSOI,M_tD6X0CSOI,The Perfect VCP Trading Setup with Mark Minervini,The Perfect VCP Trading Setup with Mark Minervini,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Reality of Relative Strength Based Trading with Linda Raschke.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_005_jD4nynuWfEU_raschke_relative_strength_janus_factor.md,,jD4nynuWfEU,The Reality of Relative Strength Based Trading with Linda Raschke,The Reality of Relative Strength Based Trading with Linda Raschke,title_filename_similarity,0.754,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Reality of Trading TQQQ and Key Strategies.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,4-IjRmw7SZI,4-IjRmw7SZI,The Reality of Trading TQQQ and Key Strategies,INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Simple Stage Analysis Trading System - Exclusive Interview with Stan Weinstein.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_FtAshnE3MwM_stan_weinstein_stage_analysis.md,FtAshnE3MwM,FtAshnE3MwM,The Simple Stage Analysis Trading System - Exclusive Interview with Stan Weinstein,INTAKE_2026-05-03_FtAshnE3MwM_stan_weinstein_stage_analysis,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Simple Trading Setup That Made Lance Breitstein Millions.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,R215f4fj7V8,R215f4fj7V8,The Simple Trading Setup That Made Lance Breitstein Millions,The Simple Trading Setup That Made Lance Breitstein Millions,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Trading Setups of the Record Breaking Trading Champion.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,10pHBNVi4Jc,10pHBNVi4Jc,The Trading Setups of the Record Breaking Trading Champion,The Trading Setups of the Record Breaking Trading Champion.md,video_id,1.0,MATCHED
