transcript_path,url,video_id,title,channel_or_source,duration,major_sections_or_timestamps,appears_complete,timestamps_present,word_count,transcript_type,strategy_keywords,wisdom_keywords
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\103% Return in 1 Year The Simple Event Driven Trading Setup.md,https://youtu.be/kao-hhaQnig?si=51-SAFaUAH9-AE6y,kao-hhaQnig,103% Return in 1 Year The Simple Event Driven Trading Setup,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,19310,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; stage analysis; stop; position size; risk; swing; day trader,process; psychology; discipline; mistake; lessons; overtrading; journal; draw down; mental
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\11,300% Return in One Year Interview with Larry Williams.md",https://youtu.be/GHZBv1W4-II?si=de5dq3ybVKbtFD-b,GHZBv1W4-II,"11,300% Return in One Year Interview with Larry Williams",UNKNOWN,UNKNOWN,"1. bölüm: Introduction: Larry Williams’ legendary 11,300% return | 2. bölüm: How Larry got into trading & early mistakes he made | 3. bölüm: The mentors and books that shaped his trading career | 4. bölüm: Understanding relative strength vs. comparative strength | 5. bölüm: Transitioning from natural commodities to broader markets | 6. bölüm: Developing volatility breakout strategies | 7. bölüm: The Oops Reversal setup & why it still works in certain markets | 8. bölüm: Lessons from top traders like Tom DeMark & Steve Cohen",LIKELY_COMPLETE,YES,14436,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; position size; risk; swing; day trader,process; psychology; discipline; mistake; lessons; journal; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\120% Return A Simple Weekly Strategy Anyone Can Use.md,https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,62OaP91Jz9k,120% Return A Simple Weekly Strategy Anyone Can Use,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,16232,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; stop; position size; risk; sell rules; swing,process; mistake; lessons; patience; overtrading; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns.md,https://youtu.be/lpjTNygfnzM?si=-jxk_6fLAUXzmVNH,lpjTNygfnzM,153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,22395,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; risk; swing; day trader,process; discipline; mistake; lessons; patience; draw down; mental
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\2,115% Return in 1 Year How a Harvard Cancer Scientist Beat Wall Street.md",https://youtu.be/NGyE4YIgGpU?si=gj_6ZcIyjUFAEGhk,NGyE4YIgGpU,"2,115% Return in 1 Year How a Harvard Cancer Scientist Beat Wall Street",UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,30826,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; vwap; stop; position size; risk; swing,process; psychology; mistake; lessons; overtrading; journal; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\259% Return in 1 Year The Risk Management Strategy YOU Need for Consistent Returns.md,https://youtu.be/oPeTkxTnooA?si=ZqwmMZiavzd-9h51,oPeTkxTnooA,259% Return in 1 Year The Risk Management Strategy YOU Need for Consistent Returns,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,19769,TRADER_INTERVIEW,setup; breakout; pullback; stop; position size; risk; swing,process; mistake; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader.md,https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9,lS9zbnLi1Gg,283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader,UNKNOWN,UNKNOWN,"1. bölüm: How a 100% trade shifted Martin’s entire mindset | 2. bölüm: Lessons from studying prior big movers | 3. bölüm: Starting with $1,300 in 2020 and early influences | 4. bölüm: From tripling his account to a brutal 50% drawdown | 5. bölüm: Foundational growth through books, podcasts, and mentors | 6. bölüm: Adopting a tighter stop strategy from Christian Kalayjian | 7. bölüm: Martin’s swing trading style, low win rate, high R setups | 8. bölüm: Why tight stops lead to parabolic R multiple gains",LIKELY_COMPLETE,YES,29138,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; vwap; stop; position size; risk; sell rules; swing,process; discipline; mistake; lessons; overtrading; journal; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\300% Return in the US Investing Championship  Leos Mikulka's Winning Strategies.md,https://youtu.be/esDKpwi1b2M?si=qt0oqFiZ5iJ_ozSZ,esDKpwi1b2M,300% Return in the US Investing Championship  Leos Mikulka's Winning Strategies,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,12273,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; position size; risk; swing,process; psychology; discipline; mistake; lessons; draw down; mental
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\33,500% RETURN - Mark Minervini's VCP Setup that made him Millions.md",https://youtu.be/JS4_6gv0PpI?si=GdGc-i9bA1G9F8BS,JS4_6gv0PpI,"33,500% RETURN - Mark Minervini's VCP Setup that made him Millions",UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,28688,TRADER_INTERVIEW,setup; breakout; pullback; vcp; stop; risk; swing; day trader,process; psychology; discipline; mistake; lessons; draw down; mental
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\40 Years of Trading Wisdom in 20 Minutes - Lessons from Jim Roppel, Hedge Fund Manager.md",https://youtu.be/Eb9FkLNJLzs?si=0aQgV5pBPJoFFund,Eb9FkLNJLzs,"40 Years of Trading Wisdom in 20 Minutes - Lessons from Jim Roppel, Hedge Fund Manager",UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,4901,TRADER_INTERVIEW,setup; entry; breakout; stop; position size; risk; swing,discipline; mistake; overtrading; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\409% Return in 1 Year Aggressive Swing Trading Tactics and Setups.md,https://youtu.be/KWxhLIOchvY?si=d0XTJw2jmEY699x-,KWxhLIOchvY,409% Return in 1 Year Aggressive Swing Trading Tactics and Setups,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,13668,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; position size; risk; swing,process; discipline; mistake; lessons; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\433% Return in 1 Year From Poker Player to Full Time Trader.md,https://youtu.be/Lot25-2fb-4?si=YHKVb3kJfybusO5o,Lot25-2fb-4,433% Return in 1 Year From Poker Player to Full Time Trader,UNKNOWN,UNKNOWN,1. bölüm: Introduction: The similarities between poker and trading | 3. bölüm: Why episodic pivots are simple yet powerful trade setups | 4. bölüm: The importance of buying at all-time highs for the biggest winners | 5. bölüm: Market lessons: How one trade went from $50 to $300 in a few weeks | 6. bölüm: Why trading success requires going all in on learning and improvement | 8. bölüm: How Christian first got into trading and poker | 10. bölüm: How the online poker boom influenced Christian’s risk-taking skills | 12. bölüm: The psychological battle of poker & trading,LIKELY_COMPLETE,YES,33797,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; stop; position size; risk; sell rules; swing,psychology; discipline; mistake; lessons; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\48 Years of Trading Lessons with Market Wizard Peter Brandt.md,https://youtu.be/R1sNTB2Vh7w?si=XnkewkLqMeGAOqVg,R1sNTB2Vh7w,48 Years of Trading Lessons with Market Wizard Peter Brandt,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,7311,TRADER_INTERVIEW,entry; breakout; stop; risk; swing,process; discipline; draw down
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\5 Simple & Effective Trading Setups of Market Wizards.md,https://youtu.be/lTiR1pc82EE?si=mvvql0aCc1yj_UO0,lTiR1pc82EE,5 Simple & Effective Trading Setups of Market Wizards,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,10413,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; stop; position size; risk; swing,process; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\7 Steps to Beat the Market - Ultimate Trading Guide Ep.md,https://youtu.be/QzzKqmPcB3A?si=gJB9Tj18DU75ZM8Y,QzzKqmPcB3A,7 Steps to Beat the Market - Ultimate Trading Guide Ep,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,27566,TRADER_INTERVIEW,setup; entry; breakout; pullback; stage analysis; stop; position size; risk; sell rules; swing,psychology; discipline; mistake; lessons; overtrading; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\a Hedge Fund Manager Reveals his Perfect Pullback Trading Setup.md,https://youtu.be/ivL6E6Lc6gM?si=GNNGCxRmyNZYqNrJ,ivL6E6Lc6gM,a Hedge Fund Manager Reveals his Perfect Pullback Trading Setup,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,21135,STRATEGY_MECHANICAL,setup; entry; breakout; pullback; stop; position size; risk; swing,discipline; patience; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\CANSLIM Trading Strategy Beat 99% of Investors Using This Simple Strategy.md,https://youtu.be/FiUGDA7eMyU?si=20tFGyciOIfCkbZF,FiUGDA7eMyU,CANSLIM Trading Strategy Beat 99% of Investors Using This Simple Strategy,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,28347,STRATEGY_MECHANICAL,entry; breakout; stop; risk; swing,process; discipline; mistake; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\FOMO is Ruining Your Trades Here's How to Fix It Trading Psychology.md,https://youtu.be/q4TuaY-ccqA?si=qjSd1TX2o0EipoIW,q4TuaY-ccqA,FOMO is Ruining Your Trades Here's How to Fix It Trading Psychology,UNKNOWN,UNKNOWN,timestamps_present,PARTIAL_OR_SHORT,YES,962,STRATEGY_MECHANICAL,entry; breakout; stop; risk,patience
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\From Blowing Up 3 Times to Managing a $200 Million Hedge Fund — Exclusive Interview with Jim Roppel.md,https://youtu.be/jLioqyVlRkE?si=HMyJ3lenMmbzZ0Tz,jLioqyVlRkE,From Blowing Up 3 Times to Managing a $200 Million Hedge Fund — Exclusive Interview with Jim Roppel,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,34877,TRADER_INTERVIEW,setup; entry; breakout; pullback; vwap; stop; position size; risk; sell rules,process; psychology; discipline; mistake; lessons; patience; overtrading; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Gamer Trades $5k into over $1 Million with just a 30% Win Rate - Brian Lee Trades.md,https://youtu.be/DPA35Gug3Y4?si=tgHSwpjijUJECVZU,DPA35Gug3Y4,Gamer Trades $5k into over $1 Million with just a 30% Win Rate - Brian Lee Trades,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,20474,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; position size; risk; swing; day trader,process; psychology; discipline; mistake; lessons; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How A Day Trader Turned into a Super-Performance Swing Trader - Real Simple Ariel.md,https://youtu.be/Nq-p7Bu1YT0?si=jA26J6RGZtMXyY4v,Nq-p7Bu1YT0,How A Day Trader Turned into a Super-Performance Swing Trader - Real Simple Ariel,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,32786,TRADER_INTERVIEW,setup; entry; breakout; pullback; vwap; stop; position size; risk; sell rules; swing; day trader,process; mistake; lessons; patience; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How Clement Ang Achieved 150%+ Returns in the US Investing Championship.md,https://youtu.be/zw96qkUn9_g?si=lYvUhy_G4u0p8zkl,zw96qkUn9_g,How Clement Ang Achieved 150%+ Returns in the US Investing Championship,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,44616,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; vwap; stop; position size; risk; swing,process; psychology; discipline; mistake; lessons; patience; overtrading; journal; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How Mark Minervini Became a Market Wizard.md,https://youtu.be/uh5bALsKkLg?si=D9l98HmuwtUWogwR,uh5bALsKkLg,How Mark Minervini Became a Market Wizard,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,13493,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; risk; swing,process; discipline; mistake; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\I Stopped Trading So Much and My Profits Skyrocketed.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,I Stopped Trading So Much and My Profits Skyrocketed,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,15954,STRATEGY_MECHANICAL,setup; entry; breakout; pullback; vcp; stop; position size; risk; sell rules,process; psychology; patience; overtrading; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Mark Minervini's #1 Risk Management Secret to Grow Your Trading Profit.md,https://youtu.be/C9Pvd9UD0jM?si=XgRD98I2o19JsA0i,C9Pvd9UD0jM,Mark Minervini's #1 Risk Management Secret to Grow Your Trading Profit,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,2622,TOOL_OR_AI_WORKFLOW,setup; stop; risk,mistake; draw down
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Pro Swing Trading Entry Tactics Ultimate Trading Guide Ep3.md,https://youtu.be/oZH6_XRxtDc?si=ar7mxK0F7O5fbnBZ,oZH6_XRxtDc,Pro Swing Trading Entry Tactics Ultimate Trading Guide Ep3,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,35523,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; stage analysis; stop; position size; risk; sell rules; swing; day trader,process; psychology; discipline; mistake; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Pro Swing Trading Setups For Consistent Gains Ultimate Trading Guide Ep 2.md,https://youtu.be/NwgJQyoUAaI?si=IuOBlOwf_231Oftz,NwgJQyoUAaI,Pro Swing Trading Setups For Consistent Gains Ultimate Trading Guide Ep 2,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,31675,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; stage analysis; stop; position size; risk; day trader,process; psychology; mistake; lessons; journal; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Secrets to Profitable Trading from Market Legend Stan Weinstein.md,https://youtu.be/DLlNDuOTUfQ?si=_eUc_moFLJqb-qm-,DLlNDuOTUfQ,Secrets to Profitable Trading from Market Legend Stan Weinstein,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,12591,TRADER_INTERVIEW,setup; breakout; pullback; stage analysis; stop; risk,process; psychology; discipline; mistake; lessons; journal; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Stage Analysis Warnings for Current Markets - Exclusive Interview with Stan Weinstein.md,https://youtu.be/O0GpSPtmCuM?si=Ra7X5w149KdMksmj,O0GpSPtmCuM,Stage Analysis Warnings for Current Markets - Exclusive Interview with Stan Weinstein,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,15857,TRADER_INTERVIEW,entry; breakout; pullback; stage analysis; stop; risk; swing; day trader,discipline; mistake; journal; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Swing Trading Vs.md,https://youtu.be/UMgJ0P8fe0s?si=eKWvqv-TW7Z9oeTt,UMgJ0P8fe0s,Swing Trading Vs,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,24481,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; position size; risk; sell rules; swing; day trader,process; psychology; mistake; draw down; mental
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The $1,000,000 Simple Trading System That Took 13 Years to Build",,,"The $1,000,000 Simple Trading System That Took 13 Years to Build",UNKNOWN,UNKNOWN,none_detected,LOW_CONTENT_OR_BINARY,NO,0,LOW_QUALITY_GENERIC,,
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The $1,000,000 Simple Trading System That Took 13 Years to Build.md",,,"The $1,000,000 Simple Trading System That Took 13 Years to Build",UNKNOWN,UNKNOWN,none_detected,LOW_CONTENT_OR_BINARY,NO,0,LOW_QUALITY_GENERIC,,
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The 10 Principles of Trading with Investing Champion Oliver Kell.md,https://youtu.be/ElocJ-b_NTs?si=5HoHV7QnhLAqXNM1,ElocJ-b_NTs,The 10 Principles of Trading with Investing Champion Oliver Kell,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,16719,STRATEGY_MECHANICAL,entry; breakout; vwap; stage analysis; stop; position size; risk; swing; day trader,process; journal; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The 3 Powerful Trading Setups of a Top Super-performance Trader.md,https://youtu.be/7UfHg8PpDZk?si=0mLL1k1aOKmlfSS4,7UfHg8PpDZk,The 3 Powerful Trading Setups of a Top Super-performance Trader,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,40701,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; vwap; stop; position size; risk; swing; day trader,process; psychology; mistake; overtrading; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke.md,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,kTqKRi-j9kM,The 5 Essential Sell Rules from a Market Wizard - Linda Bradford Raschke,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,17499,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; risk; swing,process; discipline; mistake; patience; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Art of Position Sizing with Anish Sikri  US Investing Championship Top Contender.md,https://youtu.be/a4uJ3rHhbfA?si=hD9z9rji3O6XbMnj,a4uJ3rHhbfA,The Art of Position Sizing with Anish Sikri  US Investing Championship Top Contender,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,24193,TRADER_INTERVIEW,setup; entry; breakout; vcp; stop; position size; risk; swing; day trader,process; psychology; discipline; mistake; journal; mental
"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The AVWAP Trading Indicator Secrets and Setups Brian Shannon, CMT.md",https://youtu.be/UmLa9FAlMgw?si=bqyEc59JFMCVzcGH,UmLa9FAlMgw,"The AVWAP Trading Indicator Secrets and Setups Brian Shannon, CMT",UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,20217,TRADER_INTERVIEW,setup; entry; breakout; pullback; vwap; stage analysis; stop; risk; swing; day trader,process; psychology; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Dead Simple VWAP Swing Trading Setup With Brian Shannon.md,https://youtu.be/Jew-Algmi0k?si=HtYuBVZg6mN58Qt-,Jew-Algmi0k,The Dead Simple VWAP Swing Trading Setup With Brian Shannon,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,14281,TRADER_INTERVIEW,setup; entry; breakout; pullback; vwap; stage analysis; stop; risk; swing,process; psychology; discipline; mistake
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Market Wizard Trading System.md,https://youtu.be/ZK5cnVQ2V3Q?si=7cL8AhQdK6X5Q_fg,ZK5cnVQ2V3Q,The Market Wizard Trading System,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,19566,TRADER_INTERVIEW,setup; breakout; pullback; stop; risk; sell rules; swing; day trader,process; discipline; mistake; lessons; journal; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Million Dollar TQQQ Swing Trading Strategy Vibha Jha.md,https://youtu.be/aDRYV4mjlHA?si=3rtey_IW5W7-U_XR,aDRYV4mjlHA,The Million Dollar TQQQ Swing Trading Strategy Vibha Jha,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,26938,TRADER_INTERVIEW,setup; entry; breakout; pullback; stage analysis; stop; position size; risk; sell rules; swing,process; mistake; lessons; draw down; mental
