candidate_id,tier,score,verdict,asset_class,timeframe
QL_LBR_ADTR_POSITION_SIZING_v0,C,5,UNKNOWN,unknown,unknown
QL_LBR_EQUITY_CURVE_RISK_THROTTLE_v0,C,5,UNKNOWN,unknown,unknown
QL_TITO_RS_MOMENTUM_BREAKOUT_CROSSBACK_v0,C,5,UNKNOWN,"['US_equities', 'liquid_crypto_proxy', 'high_beta_crypto_pairs']","{'context': ['daily', 'weekly'], 'execution': ['1h', '30m', '15m']}"
QL_TITO_OPTIONS_AWARE_RISK_OVERLAY_v0,C,5,UNKNOWN,"['all', 'especially_options', 'adaptable_to_futures']",unknown
QL_TITO_PROFIT_WITHDRAWAL_CAPITAL_AT_RISK_v0,C,5,UNKNOWN,unknown,unknown
QL_STAN_STAGE_1B_TO_2A_BREAKOUT_v0,C,5,UNKNOWN,unknown,"{'primary': '1D', 'confirmation': '1W'}"
QL_STAN_STAGE_2A_PULLBACK_SUPPORT_v0,C,5,UNKNOWN,unknown,"{'primary': '1D', 'confirmation': '1W'}"
QL_STAN_UNFILLED_GAP_CONTINUATION_v0,C,5,UNKNOWN,unknown,1D
QL_STAN_FAILED_RALLY_200D_SHORT_AVOID_v0,C,5,UNKNOWN,unknown,1D
QL_STAN_FOREST_GROUP_TREE_FILTER_v0,C,5,UNKNOWN,unknown,unknown
QL_STAN_SPLIT_TAPE_BREADTH_FILTER_v0,C,5,UNKNOWN,unknown,unknown
QL_STAN_GOOD_COMPANY_BAD_CHART_BLOCK_v0,C,5,UNKNOWN,unknown,unknown
QL_BRIAN_SHANNON_AVWAP_GAP_PULLBACK_STRENGTH_v0,C,5,UNKNOWN,unknown,unknown
QL_BRIAN_SHANNON_AVWAP_PINCH_BREAKOUT_v0,C,5,UNKNOWN,unknown,unknown
QL_BRIAN_SHANNON_AVWAP_HANDOFF_TREND_CONTINUATION_v0,C,5,UNKNOWN,unknown,unknown
QL_BRIAN_SHANNON_5DMA_AVWAP_MOMENTUM_ENTRY_v0,C,5,UNKNOWN,unknown,unknown
QL_BRIAN_SHANNON_BREAKAWAY_GAP_AVWAP_CONTINUATION_v0,C,5,UNKNOWN,unknown,unknown
QL_ANTHONY_OUTLIER_LEADER_BREAKOUT_v0,C,5,UNKNOWN,unknown,daily
QL_ANTHONY_BREAKOUT_PULLBACK_RS_v0,C,5,UNKNOWN,unknown,"['daily', 'intraday_for_entry']"
QL_ANTHONY_UNDERCUT_RECLAIM_LEADER_v0,C,5,UNKNOWN,unknown,unknown
QL_ANTHONY_EP_EARNINGS_THEME_BREAKOUT_v0,C,5,UNKNOWN,unknown,unknown
QL_ANTHONY_BACKWATCH_BREAKOUT_HEALTH_ENGINE_v0,C,5,UNKNOWN,unknown,unknown
QL_ANTHONY_THEME_LEADERSHIP_ENGINE_v0,C,5,UNKNOWN,unknown,unknown
QL_ANTHONY_CYCLE_AWARE_EXPOSURE_CONTROL_v0,C,5,UNKNOWN,unknown,unknown
QL_MARTIN_PULLBACK_CONFLUENCE_LONG_001,C,5,UNKNOWN,unknown,unknown
QL_MARTIN_PARABOLIC_LONG_001,C,5,UNKNOWN,unknown,unknown
QL_TY_MICROCAP_LIQUIDITY_REVERSION_SHORT_001,C,5,UNKNOWN,unknown,unknown
QL_CANSLIM_O_NEIL_GROWTH_STOCK_SYSTEM,C,2,UNKNOWN,unknown,unknown
QL_CANSLIM_SHAKEOUT_PLUS_3_001,C,2,UNKNOWN,equities_primary,daily
QL_SLINGSHOT_4EMA_HIGH_PULLBACK_001,C,2,UNKNOWN,"{'primary': 'equities', 'secondary_research': 'crypto_trend_assets'}","{'primary': 'daily', 'optional': ['1h', '4h', 'weekly']}"
QL_FISHHOOK_EP_DAY1_RETAKE_001,C,2,UNKNOWN,"{'primary': 'equities', 'not_primary': 'crypto'}","{'signal': 'daily', 'refinement': '10m_intraday'}"
QL_KELL_WEDGE_POP_001,C,2,UNKNOWN,unknown,"{'stock_original': 'daily + 65m', 'crypto_adaptation': 'daily + 4h or 1h'}"
QL_KELL_EMA_CROSSBACK_001,C,2,UNKNOWN,unknown,unknown
QL_KELL_BASIN_BREAK_001,C,2,UNKNOWN,unknown,unknown
QL_KELL_WEDGE_DROP_EXIT_001,C,2,UNKNOWN,unknown,unknown
QL_RYAN_TIGHT_BREAKOUT_001,C,2,UNKNOWN,unknown,unknown
QL_LBR_PREV_DAY_HIGH_LOW_TAYLOR_RHYTHM_v0,C,2,UNKNOWN,unknown,unknown
QL_LBR_ROC2_REVERSAL_v0,C,2,UNKNOWN,unknown,unknown
QL_ROPPEL_50D_RECLAIM_TIGHT_ACTION_v0,C,2,UNKNOWN,"['US_growth_equities', 'high_beta_equities', 'crypto_proxy_optional']",unknown
QL_ROPPEL_357_SCALEOUT_RISK_MODULE_v0,C,2,UNKNOWN,"['equities', 'crypto', 'futures']",unknown
QL_ROPPEL_LEADERSHIP_THEME_SCORE_v0,C,2,UNKNOWN,"['US_equities', 'crypto_sector_proxy']",unknown
QL_ROPPEL_EXTENSION_OVER_50D_HEDGE_SIGNAL_v0,C,2,UNKNOWN,"['equities', 'crypto', 'futures']",unknown
QL_ROPPEL_POSITION_TRADING_HOLD_ENGINE_v0,C,2,UNKNOWN,unknown,unknown
QL_VCP_BREAKOUT_DAILY_BASE_001,C,2,UNKNOWN,unknown,unknown
QL_BRIAN_SHANNON_FAILED_AVWAP_TRAP_v0,C,2,UNKNOWN,unknown,unknown
CAND_BRIAN_LEE_SMALLCAP_GAP_MR_SHORT_V1,C,2,UNKNOWN,unknown,1m_primary_5m_context
QL_CAND_2026-05-03_eWtY7uoJL0_RYAN_PRICE_VOLUME_STAGE,C,2,UNKNOWN,unknown,unknown
QL_CAND_003_KWxhLIOchvY,C,2,UNKNOWN,unknown,unknown
QL_CAND_004_Nq-p7Bu1YT0,C,2,UNKNOWN,unknown,unknown
QL_MARTIN_PULLBACK_SHORT_001,C,2,UNKNOWN,unknown,unknown
YT_OLIVER_KELL_WEDGE_POP_PRICE_CYCLE_V1,C,2,UNKNOWN,unknown,unknown
QL_GON_HALT_MOMENTUM_CONTINUATION_v0,C,0,UNKNOWN,unknown,unknown
CAND_20260503_TED_ZHANG_MAGIC_ELIXIR_MOMENTUM_HAN1kymVbTc,C,0,UNKNOWN,unknown,unknown
QL_BASELINE_EMA20_50_RETEST_001,C,0,UNKNOWN,unknown,unknown
