Sheets: ['Performance', 'Trades analysis', 'Risk-adjusted performance', 'List of trades', 'Properties']

Using Prop Sheet: Properties
Trading range | Jul 01, 2025, 15:30 — Jan 01, 2026, 00:00
[ATR] Baseline SMA Len | 100
Use Max Drawdown Guard | On
Max Drawdown % | 12
Use Consecutive Loss Halt | Off
Max Consecutive Losses | 3
Use Trade Cooldown | Off
Cooldown Bars After Exit | 5
Use Equity Curve Filter | On
Equity MA Length | 6
Use MAE Guard (in-trade) | Off
Max MAE % | 2
Consec Loss: Reset Daily (Legacy) | On
Use Guard Recovery (auto-resume after block) | Off
Recovery Mode | Bars
Recovery After (bars) | 50
Recovery After (signals) | 3
Recovery: Early-exit when Equity Curve turns OK | On
Recovery: Quality-Based Virtual Trade (Consec Loss) | Off
  Virtual Wins Required | 1
  Use SL in Virtual | On
  Use TP in Virtual | On
  Use BE in Virtual | On
  Use Trailing in Virtual | On
  Close on Opposite Signal | On
Plot SL | On
Plot SL Base (Locked) | Off
Plot TP / TP1/2 | On
Plot Trailing | On
Plot Supertrend | Off
   Show plots only when Supertrend mode active | Off
Plot MA Filter | Off
Plot McGinley Filter | Off
Performance Mode (fewer plots/tables) | Off
Show Signal Mode Tag | Off
Show Signal Events (BUY/SELL) | On
Show Filter Block Tags | Off
Filter Tag Mode | Failed only
Filter Tag Separator | Pipe
Filter Tag Label Size | Small
Max Filter Tag Labels (FIFO) | 100
Filter Tag Cooldown Bars | 0
 Orders are processed on bar close | On
Debug bar colors | Off
Show Exit Statistics Table | Off
Exit Stats Mode | Events
Exit Stats Table Text Size | Normal
Exit Stats Table Position | Bottom Right
Exit Stats: Show Flat column | Off
Exit Stats: Show Win % column | Off
Exit Stats Text Size | Normal
Exit Stats Position | Bottom Right
Debug Exit Reason (logs + optional labels) | Off
Show Filter Block Stats Table | Off
Filter Block Table Text Size | Normal
Filter Block Table Position | Top Right
Show Label Count Warning | Off
Show Security Inventory Table | Off
Show Why No Trade Dashboard | Off
Force Alert UI Workaround | Off
Enter Long Code | ENTER-LONG_Binance_BTCUSDT_MTC1_1H_cf58af3e65c750b64ad0161d
Exit Long Code | EXIT-LONG_Binance_BTCUSDT_MTC1_1H_cf58af3e65c750b64ad0161d
Enter Short Code | ENTER-SHORT_Binance_BTCUSDT_MTC1_1H_cf58af3e65c750b64ad0161d
Exit Short Code | EXIT-SHORT_Binance_BTCUSDT_MTC1_1H_cf58af3e65c750b64ad0161d
Exit All Code | EXIT-ALL_Binance_BTCUSDT_MTC1_1H_cf58af3e65c750b64ad0161d
Order Type | market
Amount Type | quote
Amount Per Trade | 100
Leverage | 1
Send Take Profit | On
Send Stop Loss | On
Reduce Only (for exits) | On
Place Conditional Orders on Exchange | Off
Use Confirmation: Swing Break + Momentum | Off
Swing Left Bars | 7
Swing Right Bars | 7
Require Close Beyond Swing (else wick) | On
Max bars to wait (timeout) | 200
Min bars to wait after raw | 1
Apply confirmation only when flat | Off
Update swing level while waiting (dynamic) | Off
Dynamic update mode | TIGHTEN_ONLY
If dynamic updates level this bar, defer break check 1 bar | On
If new RAW event arrives, refresh level+timer | On
RAW event mode | EDGE
If LONG & SHORT raw same bar | LONG_WINS
Bar close only (barstate.isconfirmed) | On
Require RAW still true at confirmation | Off
Break buffer (ticks) | 0
Max swing distance % (0 = off) | 0
Max pivot age bars (0 = off) | 0
Use Momentum Filter | Off
Momentum Mode | ATR_BODY
ATR Len | 14
ATR Body Mult | 0.3
ROC(1) Min % (0.15 = 0.15%) | 0.15
Use Session Filter | Off
Session | 00:00 — 23:59
Plot confirmation levels (only while waiting) | Off
Enable confirmation visuals (debug) | Off
RAWWAIT markers | On
WAIT markers (per bar) | Off
WAIT background tint | On
Level lines | On
BREAK markers | On
CONF markers | On
waitBars in Data Window | On
Optional waitBars label (low spam) | Off
Label update every N bars | 5
Initial capital | 10000
Order size | 1 contracts
Pyramiding | 1 orders
Commission | 0.04
Slippage | 5 ticks
Verify price for limit orders | 0 ticks
Margin for long positions | 1%
Margin for short positions | 1%
Recalculate after order is filled | Off
Recalculate on every tick | Off
Recalculate on bar close | On
Backtesting precision. Use bar magnifier | Off

Using Trade Sheet: List of trades
Total rows in trade sheet: 26
