candidate_id,source_url,source_title,transcript_path,intake_path,corrected_intake_path,strategy_class,native_market,native_timeframe,source_quality,rule_clarity,mechanical_testability,data_requirements,MTC_mapping,manual_visual_review_priority,final_action,reason
QLR_NwgJQyoUAaI,https://www.youtube.com/watch?v=NwgJQyoUAaI,Pro Swing Trading Setups For Consistent Gains Ultimate Trading Guide Ep 2,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Pro Swing Trading Setups For Consistent Gains Ultimate Trading Guide Ep 2.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_003_NwgJQyoUAaI_pro_swing_trading_setups_ep2.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,4,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_M_tD6X0CSOI,https://www.youtube.com/watch?v=M_tD6X0CSOI,The Perfect VCP Trading Setup with Mark Minervini,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Perfect VCP Trading Setup with Mark Minervini.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_004_M_tD6X0CSOI_the_perfect_vcp_trading_setup_mark_minervini.md,,SWING_TRADE_STRATEGY,US_EQUITIES,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_HAN1kymVbTc,https://www.youtube.com/watch?v=HAN1kymVbTc,"Trading $30 Million at Age 25 - The Story of Ted Zhang, Momentum Portfolio Manager","06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading $30 Million at Age 25 - The Story of Ted Zhang, Momentum Portfolio Manager.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_006_HAN1kymVbTc_ted_zhang_momentum_portfolio_manager.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_2f5VfmlU90U,https://www.youtube.com/watch?v=2f5VfmlU90U,The Mind of a Trader  Insights on Trading Psychology and Overcoming Setbacks  Charles Harris,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Mind of a Trader  Insights on Trading Psychology and Overcoming Setbacks  Charles Harris.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_2f5VfmlU90U_charles_harris_trading_psychology.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_4-IjRmw7SZI,https://www.youtube.com/watch?v=4-IjRmw7SZI,The Reality of Trading TQQQ and Key Strategies,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Reality of Trading TQQQ and Key Strategies.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_4-IjRmw7SZI.md,SWING_TRADE_STRATEGY,US_LEVERAGED_ETF,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,4,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=2.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=DAY_TRADE_STRATEGY. Antigravity repair accepted: DAY_TRADE_STRATEGY -> SWING_TRADE_STRATEGY.
QLR_6aOnCK1gv2w,https://www.youtube.com/watch?v=6aOnCK1gv2w,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175759\corrected_intakes\CORRECTED_6aOnCK1gv2w_INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR__AAX1ylNbIE,https://www.youtube.com/watch?v=_AAX1ylNbIE,10 Lessons from Market Wizards & Trading Legends,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Lessons from Market Wizards & Trading Legends.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_aDRYV4mjlHA,https://www.youtube.com/watch?v=aDRYV4mjlHA,The Million Dollar TQQQ Swing Trading Strategy Vibha Jha,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Million Dollar TQQQ Swing Trading Strategy Vibha Jha.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_aDRYV4mjlHA_vibha_jha_tqqq_swing_strategy.md,,SWING_TRADE_STRATEGY,US_LEVERAGED_ETF,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_CtioOmc1Eig,https://www.youtube.com/watch?v=CtioOmc1Eig,Trade Like a Professional Simple and Effective Trading Strategy with Charles Harris,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trade Like a Professional Simple and Effective Trading Strategy with Charles Harris.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_CtioOmc1Eig_charles_harris_trade_like_professional.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_DPA35Gug3Y4,https://www.youtube.com/watch?v=DPA35Gug3Y4,Gamer Trades $5k into over $1 Million with just a 30% Win Rate - Brian Lee Trades,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Gamer Trades $5k into over $1 Million with just a 30% Win Rate - Brian Lee Trades.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_DPA35Gug3Y4_brian_lee_smallcap_mean_reversion_progressive_exposure.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_ElocJ-b_NTs,https://www.youtube.com/watch?v=ElocJ-b_NTs,The 10 Principles of Trading with Investing Champion Oliver Kell,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The 10 Principles of Trading with Investing Champion Oliver Kell.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,4,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_eWtY7uoJL_0,https://www.youtube.com/watch?v=eWtY7uoJL_0,Trading The Battle With Yourself  Market Wizard David Ryan,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading The Battle With Yourself  Market Wizard David Ryan.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_eWtY7uoJL_0_david_ryan_price_volume_discipline.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_GHZBv1W4-II,https://www.youtube.com/watch?v=GHZBv1W4-II,"11,300% Return in One Year Interview with Larry Williams","06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\11,300% Return in One Year Interview with Larry Williams.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_GHZBv1W4-II_larry_williams.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_jLioqyVlRkE,https://www.youtube.com/watch?v=jLioqyVlRkE,From Blowing Up 3 Times to Managing a $200 Million Hedge Fund — Exclusive Interview with Jim Roppel,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\From Blowing Up 3 Times to Managing a $200 Million Hedge Fund — Exclusive Interview with Jim Roppel.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_jLioqyVlRkE_jim_roppel_200m_hedge_fund.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_kao-hhaQnig,https://www.youtube.com/watch?v=kao-hhaQnig,103% Return in 1 Year The Simple Event Driven Trading Setup,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\103% Return in 1 Year The Simple Event Driven Trading Setup.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_kao-hhaQnig_andrew_connell_event_driven_value_area.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_lpjTNygfnzM,https://www.youtube.com/watch?v=lpjTNygfnzM,153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lpjTNygfnzM_deepak_swing_trading_triple_digit_returns.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_lS9zbnLi1Gg,https://www.youtube.com/watch?v=lS9zbnLi1Gg,283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_lTiR1pc82EE,https://www.youtube.com/watch?v=lTiR1pc82EE,5 Simple & Effective Trading Setups of Market Wizards,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\5 Simple & Effective Trading Setups of Market Wizards.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175759\corrected_intakes\CORRECTED_lTiR1pc82EE_INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_QzzKqmPcB3A,https://www.youtube.com/watch?v=QzzKqmPcB3A,7 Steps to Beat the Market - Ultimate Trading Guide Ep,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\7 Steps to Beat the Market - Ultimate Trading Guide Ep.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_QzzKqmPcB3A_ultimate_trading_guide_ep.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_R1sNTB2Vh7w,https://www.youtube.com/watch?v=R1sNTB2Vh7w,48 Years of Trading Lessons with Market Wizard Peter Brandt,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\48 Years of Trading Lessons with Market Wizard Peter Brandt.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R1sNTB2Vh7w_peter_brandt_48_years_trading_lessons.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
