applied_change,candidate_id,decision,evidence,repair_id,request,source_file,source_paths_checked
No web/source fetch performed in final repair; intake remains DATA_BLOCKED until transcript is supplied.,QLR_fYxSQvuwOQc,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=True.,MATCH_MISSING_TRANSCRIPT_fYxSQvuwOQc,MISSING_TRANSCRIPT,MATCHING_AUDIT_FINDINGS.csv,; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md
No web/source fetch performed in final repair; intake remains DATA_BLOCKED until transcript is supplied.,QLR_Ne3X-l6W4CQ,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=True.,MATCH_MISSING_TRANSCRIPT_Ne3X-l6W4CQ,MISSING_TRANSCRIPT,MATCHING_AUDIT_FINDINGS.csv,; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md
No web/source fetch performed in final repair; intake remains DATA_BLOCKED until transcript is supplied.,QLR_XNZ4f-b3ED8,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=True.,MATCH_MISSING_TRANSCRIPT_XNZ4f-b3ED8,MISSING_TRANSCRIPT,MATCHING_AUDIT_FINDINGS.csv,; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md
No web/source fetch performed in final repair; intake remains DATA_BLOCKED until transcript is supplied.,QLR_Yb5lMegA5Hs,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=True.,MATCH_MISSING_TRANSCRIPT_Yb5lMegA5Hs,MISSING_TRANSCRIPT,MATCHING_AUDIT_FINDINGS.csv,; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md
No web/source fetch performed in final repair; intake remains DATA_BLOCKED until transcript is supplied.,QLR_RHlsVNSM8Aw,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=True.,MATCH_MISSING_TRANSCRIPT_RHlsVNSM8Aw,MISSING_TRANSCRIPT,MATCHING_AUDIT_FINDINGS.csv,; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md
No web/source fetch performed in final repair; intake remains DATA_BLOCKED until transcript is supplied.,QLR_bRXO6F_vGjM,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=True.,MATCH_MISSING_TRANSCRIPT_bRXO6F_vGjM,MISSING_TRANSCRIPT,MATCHING_AUDIT_FINDINGS.csv,; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md
Merged duplicate candidate rows into one canonical final row.,QLR_VKNEJA5r8zw,ACCEPTED,Two Codex rows existed for QLR_VKNEJA5r8zw; final output keeps one canonical row and references both intakes in reason.,MATCH_DUPLICATE_NEEDS_MERGE_VKNEJA5r8zw,DUPLICATE_NEEDS_MERGE,MATCHING_AUDIT_FINDINGS.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+969% Return in 1 Year The Pullback Strategy of a Trading Champion.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_VKNEJA5r8zw_Intake_Report_2026-05-03.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_Tm0dkf8_giA,ACCEPTED,Do not waste time holding a stock through a proper basing structure; leverage time and money.,WIKI_Tm0dkf8_giA,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_6aOnCK1gv2w,ACCEPTED,Avoid chopping yourself up; track consecutive trades on the same name.,WIKI_6aOnCK1gv2w,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_6tnREqUJ1WY,ACCEPTED,Having your best day in a while is a warning sign to be on guard; sentiment is huge.,WIKI_6tnREqUJ1WY,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading Backtests Are Misleading - Here's what to do instead.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_lTiR1pc82EE,ACCEPTED,"Always check the weekly chart, not just the daily; inside bars and unfilled gaps can signal strength.",WIKI_lTiR1pc82EE,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\5 Simple & Effective Trading Setups of Market Wizards.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_R215f4fj7V8,ACCEPTED,"Preserve mental process and physical preparation, including setting alerts below highs during flushes.",WIKI_R215f4fj7V8,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Simple Trading Setup That Made Lance Breitstein Millions.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_RTHRh_GLwH8,ACCEPTED,Position sizing is the core risk-management lever for preventing large losses.,WIKI_RTHRh_GLwH8,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Trading Returns - How to become a Super Trade with Mark Ritchie.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_UMgJ0P8fe0s,ACCEPTED,"Let winners run, but do not expect every trade to run for months and become a huge winner.",WIKI_UMgJ0P8fe0s,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Swing Trading Vs.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_zw96qkUn9_g,ACCEPTED,"Avoid chop, be patient, and wait for a fat pitch.",WIKI_zw96qkUn9_g,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How Clement Ang Achieved 150%+ Returns in the US Investing Championship.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_JS4_6gv0PpI,ACCEPTED,Avoid style drift and jumping from one strategy to the next.,WIKI_JS4_6gv0PpI,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,"06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\33,500% RETURN - Mark Minervini's VCP Setup that made him Millions.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md"
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR__AAX1ylNbIE,ACCEPTED,Preserve higher-timeframe context; weekly charts can matter more than intraday noise.,WIKI__AAX1ylNbIE,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Lessons from Market Wizards & Trading Legends.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md
Added final repair wisdom item to Trader Wiki and LLM Wiki.,QLR_UtNrp_Uz9Oc,ACCEPTED,FOMO is an umbrella term rooted in greed and related emotional drivers.,WIKI_UtNrp_Uz9Oc,ADD_TO_WIKI,INTAKE_FAITHFULNESS_REVIEW.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading The Mental Game Jared Tendler.md; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_UtNrp_Uz9Oc_Intake_Report_2026-05-03.md
