stg_code,id,score,status,stage,blocker,next_action,forward_label,decision_sentence
Stg088,QL_ANTHONY_BACKWATCH_BREAKOUT_HEALTH_ENGINE_v0,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_ANTHONY_BACKWATCH_BREAKOUT_HEALTH_ENGINE_v0 scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg089,QL_ANTHONY_BREAKOUT_PULLBACK_RS_v0,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_ANTHONY_BREAKOUT_PULLBACK_RS_v0 scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg090,QL_ANTHONY_CYCLE_AWARE_EXPOSURE_CONTROL_v0,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_ANTHONY_CYCLE_AWARE_EXPOSURE_CONTROL_v0 scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg091,QL_ANTHONY_EP_EARNINGS_THEME_BREAKOUT_v0,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_ANTHONY_EP_EARNINGS_THEME_BREAKOUT_v0 scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg092,QL_ANTHONY_OUTLIER_LEADER_BREAKOUT_v0,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_ANTHONY_OUTLIER_LEADER_BREAKOUT_v0 scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg093,QL_ANTHONY_THEME_LEADERSHIP_ENGINE_v0,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_ANTHONY_THEME_LEADERSHIP_ENGINE_v0 scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg094,QL_ANTHONY_UNDERCUT_RECLAIM_LEADER_v0,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_ANTHONY_UNDERCUT_RECLAIM_LEADER_v0 scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg011,QLR_2f5VfmlU90U,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_2f5VfmlU90U scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg012,QLR_4-IjRmw7SZI,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_4-IjRmw7SZI scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg013,QLR_62OaP91Jz9k,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_62OaP91Jz9k scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg014,QLR_6aOnCK1gv2w,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_6aOnCK1gv2w scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg015,QLR_6tnREqUJ1WY,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_6tnREqUJ1WY scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg017,QLR_CtioOmc1Eig,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_CtioOmc1Eig scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg018,QLR_DLlNDuOTUfQ,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_DLlNDuOTUfQ scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg019,QLR_DPA35Gug3Y4,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_DPA35Gug3Y4 scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg020,QLR_Eb9FkLNJLzs,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_Eb9FkLNJLzs scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg021,QLR_ElocJ-b_NTs,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_ElocJ-b_NTs scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg022,QLR_FiUGDA7eMyU,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_FiUGDA7eMyU scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg023,QLR_FtAshnE3MwM,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_FtAshnE3MwM scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg024,QLR_GHZBv1W4-II,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_GHZBv1W4-II scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg025,QLR_HAN1kymVbTc,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_HAN1kymVbTc scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg026,QLR_JS4_6gv0PpI,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_JS4_6gv0PpI scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg027,QLR_Jew-Algmi0k,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_Jew-Algmi0k scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg030,QLR_Lot25-2fb-4,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_Lot25-2fb-4 scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg031,QLR_M_tD6X0CSOI,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_M_tD6X0CSOI scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg032,QLR_MnXQOt7_ZP0,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_MnXQOt7_ZP0 scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg033,QLR_NGyE4YIgGpU,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_NGyE4YIgGpU scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg035,QLR_NwgJQyoUAaI,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_NwgJQyoUAaI scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg036,QLR_O0GpSPtmCuM,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_O0GpSPtmCuM scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg037,QLR_QzzKqmPcB3A,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_QzzKqmPcB3A scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg038,QLR_R1sNTB2Vh7w,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_R1sNTB2Vh7w scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg040,QLR_RTHRh_GLwH8,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_RTHRh_GLwH8 scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg041,QLR_UD7gipBWnuY,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_UD7gipBWnuY scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg042,QLR_UMgJ0P8fe0s,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_UMgJ0P8fe0s scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg043,QLR_UmLa9FAlMgw,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_UmLa9FAlMgw scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg045,QLR_XOul-ECgHyA,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_XOul-ECgHyA scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg047,QLR__AAX1ylNbIE,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR__AAX1ylNbIE scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg049,QLR_a4uJ3rHhbfA,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_a4uJ3rHhbfA scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg050,QLR_a55f696216,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_a55f696216 scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg051,QLR_aDRYV4mjlHA,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_aDRYV4mjlHA scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg052,QLR_eWtY7uoJL_0,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_eWtY7uoJL_0 scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg053,QLR_hVCcVRxaxJY,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_hVCcVRxaxJY scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg054,QLR_ivL6E6Lc6gM,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_ivL6E6Lc6gM scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg055,QLR_jLioqyVlRkE,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_jLioqyVlRkE scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg056,QLR_kTqKRi-j9kM,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_kTqKRi-j9kM scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg058,QLR_lS9zbnLi1Gg,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_lS9zbnLi1Gg scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg059,QLR_lTiR1pc82EE,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_lTiR1pc82EE scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg060,QLR_lpjTNygfnzM,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_lpjTNygfnzM scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg061,QLR_m8F3KkBDtC0,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_m8F3KkBDtC0 scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg063,QLR_oZH6_XRxtDc,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_oZH6_XRxtDc scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg064,QLR_q43pkYBo1hU,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_q43pkYBo1hU scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg066,QLR_qz7avJJvnyI,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_qz7avJJvnyI scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg067,QLR_rdmjsbDVuoU,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_rdmjsbDVuoU scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg069,QLR_uh5bALsKkLg,54,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_uh5bALsKkLg scores 54/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg095,QL_BASELINE_EMA20_50_RETEST_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_BASELINE_EMA20_50_RETEST_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg096,QL_BRIAN_SHANNON_5DMA_AVWAP_MOMENTUM_ENTRY_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_BRIAN_SHANNON_5DMA_AVWAP_MOMENTUM_ENTRY_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg097,QL_BRIAN_SHANNON_AVWAP_GAP_PULLBACK_STRENGTH_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_BRIAN_SHANNON_AVWAP_GAP_PULLBACK_STRENGTH_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg098,QL_BRIAN_SHANNON_AVWAP_HANDOFF_TREND_CONTINUATION_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_BRIAN_SHANNON_AVWAP_HANDOFF_TREND_CONTINUATION_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg099,QL_BRIAN_SHANNON_AVWAP_PINCH_BREAKOUT_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_BRIAN_SHANNON_AVWAP_PINCH_BREAKOUT_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg100,QL_BRIAN_SHANNON_BREAKAWAY_GAP_AVWAP_CONTINUATION_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_BRIAN_SHANNON_BREAKAWAY_GAP_AVWAP_CONTINUATION_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg101,QL_BRIAN_SHANNON_FAILED_AVWAP_TRAP_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_BRIAN_SHANNON_FAILED_AVWAP_TRAP_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg103,QL_CAND_004_Nq-p7Bu1YT0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CAND_004_Nq-p7Bu1YT0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg104,QL_CAND_2026-05-03_eWtY7uoJL0_RYAN_PRICE_VOLUME_STAGE,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CAND_2026-05-03_eWtY7uoJL0_RYAN_PRICE_VOLUME_STAGE scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg105,QL_CANSLIM_O_NEIL_GROWTH_STOCK_SYSTEM,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CANSLIM_O_NEIL_GROWTH_STOCK_SYSTEM scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg106,QL_CANSLIM_SHAKEOUT_PLUS_3_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CANSLIM_SHAKEOUT_PLUS_3_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg107,QL_CHARLES_21EMA_PULLBACK_ADDON_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CHARLES_21EMA_PULLBACK_ADDON_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg108,QL_CHARLES_FIRST_PULLBACK_50DMA_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CHARLES_FIRST_PULLBACK_50DMA_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg109,QL_CHARLES_PRIOR_BASE_TOP_SUPPORT_PULLBACK_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CHARLES_PRIOR_BASE_TOP_SUPPORT_PULLBACK_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg110,QL_CHARLES_REVERSE_PYRAMID_PULLBACK_SCALEIN_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CHARLES_REVERSE_PYRAMID_PULLBACK_SCALEIN_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg111,QL_CHARLES_SWING_AROUND_CORE_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CHARLES_SWING_AROUND_CORE_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg112,QL_CHARLES_UPSIDE_REVERSAL_PULLBACK_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CHARLES_UPSIDE_REVERSAL_PULLBACK_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg113,QL_CHARLES_WEEKLY_SHAKEOUT_CONFIRMATION_GUARD_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_CHARLES_WEEKLY_SHAKEOUT_CONFIRMATION_GUARD_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg114,QL_FISHHOOK_EP_DAY1_RETAKE_001,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_FISHHOOK_EP_DAY1_RETAKE_001 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg115,QL_GON_HALT_MOMENTUM_CONTINUATION_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_GON_HALT_MOMENTUM_CONTINUATION_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg116,QL_GON_NEXT_DAY_LOW_FLOAT_CONTINUATION_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_GON_NEXT_DAY_LOW_FLOAT_CONTINUATION_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg117,QL_GON_OG_BULL_FLAG_HIGH_TIGHT_v0,47,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,QL_GON_OG_BULL_FLAG_HIGH_TIGHT_v0 scores 47/100 and is held in LOW_SCORE_REVIEW because of score below 65.
