file_path,url,video_id,title,classification,reason,strategy_names,asset_class,timeframe,testability,candidate_count
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,"https://youtu.be/NGyE4YIgGpU?si=gj_6ZcIyjUFAEGhk""",NGyE4YIgGpU,QuantLens Intake Report — Tito Adhikary / Options Momentum Breakout,VALID_INTAKE_REPORT,intake markers present,"BigBeluga,CANSLIM,Crabel,Kell",US_EQUITY,5m,NEEDS_US_EQUITY_DATA,4
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,https://youtu.be/O0GpSPtmCuM?si=Ra7X5w149KdMksmj,O0GpSPtmCuM,QUANTLENS TRANSCRIPT INTAKE REPORT — Stan Weinstein Stage Analysis / Current Market Warnings,VALID_INTAKE_REPORT,intake markers present,Weinstein,US_EQUITY,5m,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,https://youtu.be/Tm0dkf8_giA?si=KeJv1-D-_CbJU-FK,Tm0dkf8_giA,QUANTLENS TRANSCRIPT INTAKE REPORT — VCP Breakout / Volatility Contraction Pattern,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,5m,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_UmLa9FAlMgw_quantlens_brian_shannon_avwap_intake.md,https://youtu.be/UmLa9FAlMgw?si=bqyEc59JFMCVzcGH,UmLa9FAlMgw,QUANTLENS TRANSCRIPT INTAKE REPORT — Brian Shannon / AVWAP Trading Indicator Secrets and Setups,VALID_INTAKE_REPORT,intake markers present,"AVWAP,VWAP,Weinstein",US_EQUITY,5m,TESTABLE_OR_REVIEW,3
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,https://youtu.be/XNZ4f-b3ED8?si=SEFGjG-VyI49JxU-,XNZ4f-b3ED8,QUANTLENS TRANSCRIPT INTAKE REPORT — XNZ4f-b3ED8,VALID_INTAKE_REPORT,intake markers present,BigBeluga,CRYPTO_OR_MULTI,5m,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_001_Lot25-2fb-4_433_return_poker_player_full_time_trader.md,https://youtu.be/Lot25-2fb-4?si=YHKVb3kJfybusO5o`,Lot25-2fb-4,QuantLens Transcript Intake Report — 001 / 068,VALID_INTAKE_REPORT,intake markers present,"CANSLIM,ORB,Opening Range,Opening range,opening range",US_EQUITY,5m,NEEDS_US_EQUITY_DATA,5
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_002_oZH6_XRxtDc_pro_swing_trading_entry_tactics_ep3.md,https://youtu.be/oZH6_XRxtDc?si=ar7mxK0F7O5fbnBZ`,oZH6_XRxtDc,QuantLens Transcript Intake Report — 002 / 068,VALID_INTAKE_REPORT,intake markers present,"CANSLIM,ORB,Opening Range,VWAP,opening range",US_EQUITY,5m,NEEDS_US_EQUITY_DATA,5
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_003_NwgJQyoUAaI_pro_swing_trading_setups_ep2.md,https://youtu.be/NwgJQyoUAaI?si=IuOBlOwf_231Oftz`,NwgJQyoUAaI,QuantLens Transcript Intake Report — 003 / 068,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,VWAP,US_EQUITY,5m,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_004_M_tD6X0CSOI_the_perfect_vcp_trading_setup_mark_minervini.md,https://youtu.be/M_tD6X0CSOI?si=7w03YALv0bHJJJUE`,M_tD6X0CSOI,QuantLens Transcript Intake Report — 004 / 068,VALID_INTAKE_REPORT,intake markers present,,US_EQUITY,1D,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_005_jD4nynuWfEU_raschke_relative_strength_janus_factor.md,https://www.youtube.com/watch?v=jD4nynuWfEU`,jD4nynuWfEU,QuantLens Transcript Intake Report — 005 / 068,VALID_INTAKE_REPORT,intake markers present,"Linda,Opening range,Raschke",US_EQUITY,5m,TESTABLE_OR_REVIEW,3
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_006_HAN1kymVbTc_ted_zhang_momentum_portfolio_manager.md,https://youtu.be/HAN1kymVbTc?si=phH70Py9VkhrRlBA`,HAN1kymVbTc,QuantLens Transcript Intake Report — 006 / 068,VALID_INTAKE_REPORT,intake markers present,"CANSLIM,Weinstein",US_EQUITY,1D,NEEDS_US_EQUITY_DATA,2
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_2f5VfmlU90U_charles_harris_trading_psychology.md,https://youtu.be/2f5VfmlU90U?si=pNdZdVgF6KhoXP-v`,2f5VfmlU90U,QuantLens Transcript Intake Report — The Mind of a Trader / Charles Harris,VALID_INTAKE_REPORT,intake markers present,"CANSLIM,canslim",US_EQUITY,1D,NEEDS_US_EQUITY_DATA,2
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,https://www.youtube.com/watch?v=4-IjRmw7SZI,4-IjRmw7SZI,QuantLens Transcript Intake Report,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,VWAP,US_EQUITY,1D,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,https://www.youtube.com/watch?v=6aOnCK1gv2w,6aOnCK1gv2w,QuantLens Transcript Intake Report — 6aOnCK1gv2w,VALID_INTAKE_REPORT,intake markers present,"ORB,Opening Range,Opening range,opening range",US_EQUITY,5m,TESTABLE_OR_REVIEW,4
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,https://www.youtube.com/watch?v=6tnREqUJ1WY,6tnREqUJ1WY,QuantLens Transcript Intake Report,VALID_INTAKE_REPORT,intake markers present,"Weinstein,microcap",US_MICROCAP,5m,NEEDS_US_MICROCAP_DATA,2
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,https://youtu.be/_AAX1ylNbIE?si=GS5jQ8yvhFsDIQd1`,_AAX1ylNbIE,QuantLens Transcript Intake Report,VALID_INTAKE_REPORT,intake markers present,Bollinger,US_EQUITY,UNKNOWN,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_a4uJ3rHhbfA_anish_sikri_position_sizing.md,https://youtu.be/a4uJ3rHhbfA?si=hD9z9rji3O6XbMnj,a4uJ3rHhbfA,QuantLens Transcript Intake Report — Anish Sikri / The Art of Position Sizing,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,"CANSLIM,Kell",US_EQUITY,1D,NEEDS_US_EQUITY_DATA,2
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_aDRYV4mjlHA_vibha_jha_tqqq_swing_strategy.md,https://youtu.be/aDRYV4mjlHA?si=3rtey_IW5W7-U_XR`,aDRYV4mjlHA,QuantLens Transcript Intake Report — The Million Dollar TQQQ Swing Trading Strategy / Vibha Jha,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,https://www.youtube.com/watch?v=C9Pvd9UD0jM,C9Pvd9UD0jM,QuantLens Transcript Intake Report,VALID_INTAKE_REPORT,intake markers present,ORB,US_EQUITY,UNKNOWN,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_CtioOmc1Eig_charles_harris_trade_like_professional.md,https://youtu.be/CtioOmc1Eig?si=ISO4HKuamRbbh4ns`,CtioOmc1Eig,QuantLens Transcript Intake Report — Trade Like a Professional / Charles Harris,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_DPA35Gug3Y4_brian_lee_smallcap_mean_reversion_progressive_exposure.md,https://youtu.be/DPA35Gug3Y4?si=tgHSwpjijUJECVZU`,DPA35Gug3Y4,QuantLens Transcript Intake Report,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,VWAP,US_EQUITY,5m,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,https://youtu.be/ElocJ-b_NTs?si=5HoHV7QnhLAqXNM1,ElocJ-b_NTs,QuantLens Transcript Intake Report — Oliver Kell / 10 Principles of Trading,VALID_INTAKE_REPORT,intake markers present,"EMA20,EMA50,Kell,Wyckoff,ema20,ema50",US_EQUITY,1D,TESTABLE_OR_REVIEW,6
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_eWtY7uoJL_0_david_ryan_price_volume_discipline.md,https://youtu.be/eWtY7uoJL_0?si=9_3CvT5T5e5HyILo,eWtY7uoJL_0,"QuantLens Transcript Intake Report — David Ryan / Price-Volume, CANSLIM Precedent & Trading Discipline",DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,"CANSLIM,Kell",US_EQUITY,5m,NEEDS_US_EQUITY_DATA,2
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_FiUGDA7eMyU_canslim_ross_haber.md,https://www.youtube.com/watch?v=FiUGDA7eMyU,FiUGDA7eMyU,QuantLens Transcript Intake Report,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_FtAshnE3MwM_stan_weinstein_stage_analysis.md,https://www.youtube.com/watch?v=FtAshnE3MwM,FtAshnE3MwM,QuantLens Transcript Intake Report,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,Weinstein,US_EQUITY,1D,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_GHZBv1W4-II_larry_williams.md,https://youtu.be/GHZBv1W4-II?si=de5dq3ybVKbtFD-b,GHZBv1W4-II,QuantLens Transcript Intake Report — GHZBv1W4-II,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,ORB,US_EQUITY,1D,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_jLioqyVlRkE_jim_roppel_200m_hedge_fund.md,https://youtu.be/jLioqyVlRkE?si=HMyJ3lenMmbzZ0Tz`,jLioqyVlRkE,QuantLens Transcript Intake Report — From Blowing Up 3 Times to Managing a $200 Million Hedge Fund,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_kao-hhaQnig_andrew_connell_event_driven_value_area.md,https://youtu.be/kao-hhaQnig?si=51-SAFaUAH9-AE6y`,kao-hhaQnig,QuantLens Transcript Intake Report,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,VWAP,US_MICROCAP,1D,NEEDS_US_MICROCAP_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lpjTNygfnzM_deepak_swing_trading_triple_digit_returns.md,https://www.youtube.com/watch?v=lpjTNygfnzM,lpjTNygfnzM,QuantLens Transcript Intake Report,VALID_INTAKE_REPORT,intake markers present,,US_EQUITY,5m,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9`,lS9zbnLi1Gg,QuantLens Transcript Intake Report — 283% Gain in 1 Year: The Story of the 22-Year-Old Swing Trader,VALID_INTAKE_REPORT,intake markers present,"EMA50,Martin Luke,Opening Range,Opening range,microcap,opening range",US_MICROCAP,5m,NEEDS_US_MICROCAP_DATA,6
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,https://youtu.be/lTiR1pc82EE?si=mvvql0aCc1yj_UO0,lTiR1pc82EE,QuantLens Transcript Intake Report,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_QzzKqmPcB3A_ultimate_trading_guide_ep.md,https://youtu.be/QzzKqmPcB3A?si=gJB9Tj18DU75ZM8Y`,QzzKqmPcB3A,QuantLens Transcript Intake Report — 7 Steps to Beat the Market - Ultimate Trading Guide Ep,VALID_INTAKE_REPORT,intake markers present,,US_EQUITY,1D,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R1sNTB2Vh7w_peter_brandt_48_years_trading_lessons.md,https://youtu.be/R1sNTB2Vh7w?si=XnkewkLqMeGAOqVg`,R1sNTB2Vh7w,QuantLens Transcript Intake Report — 48 Years of Trading Lessons with Market Wizard Peter Brandt,VALID_INTAKE_REPORT,intake markers present,,CRYPTO_OR_MULTI,UNKNOWN,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,https://youtu.be/R215f4fj7V8?si=L3wGYRC2vMT5Bjb_,R215f4fj7V8,"QuantLens Transcript Intake Report — Lance Breitstein / Trend Trading, Right-Side-of-V & Catalyst Momentum",VALID_INTAKE_REPORT,intake markers present,"VWAP,opening range,vwap",US_EQUITY,5m,TESTABLE_OR_REVIEW,3
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_rdmjsbDVuoU_high_tight_flag_leif_soreide.md,https://youtu.be/rdmjsbDVuoU?si=8qhVw_nmLLRHolwf`,rdmjsbDVuoU,QuantLens Transcript Intake Report — rdmjsbDVuoU,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,https://youtu.be/RTHRh_GLwH8?si=NyxT_vvKDrHwMv64,RTHRh_GLwH8,QuantLens Transcript Intake Report,VALID_INTAKE_REPORT,intake markers present,,US_EQUITY,1D,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_tynE-pwE-1o_pradeep_bonde_process_beats_setups_NEEDS_TRANSCRIPT.md,https://youtu.be/tynE-pwE-1o?si=E0Q_en-H8CP_3QEG`,tynE-pwE-1o,QuantLens Transcript Intake Report — Why Process Beats Setups in Trading / Pradeep Bonde,VALID_INTAKE_REPORT,intake markers present,,CRYPTO_OR_MULTI,UNKNOWN,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_uh5bALsKkLg_mark_minervini_market_wizard.md,https://www.youtube.com/watch?v=uh5bALsKkLg,uh5bALsKkLg,QuantLens Transcript Intake Report,VALID_INTAKE_REPORT,intake markers present,,US_EQUITY,1D,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,https://www.youtube.com/watch?v=UMgJ0P8fe0s,UMgJ0P8fe0s,QuantLens Transcript Intake Report,VALID_INTAKE_REPORT,intake markers present,,CRYPTO_OR_MULTI,1D,TESTABLE_OR_REVIEW,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md,https://www.youtube.com/watch?v=zw96qkUn9_g`,zw96qkUn9_g,QuantLens Transcript Intake Report — How Clement Ang Achieved 150%+ Returns in the US Investing Championship,VALID_INTAKE_REPORT,intake markers present,"Opening Range,Opening range,VWAP,opening range",US_EQUITY,5m,TESTABLE_OR_REVIEW,4
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md,https://youtu.be/JS4_6gv0PpI?si=GdGc-i9bA1G9F8BS`,JS4_6gv0PpI,QuantLens Transcript Intake Report — JS4_6gv0PpI,VALID_INTAKE_REPORT,intake markers present,,US_EQUITY,1D,TESTABLE_OR_REVIEW,1
